"species"	"contigs"	"genome_size"	"sp"	"sp_ID"
"GCF_900251805.1_M3720_genomic.fna"	"Staphylococcus_aureus"	71	2882275	"aureus"	"Staphylococcus_aureus__GCF_900251805.1_M3720_genomic.fna"
"GCF_000548945.1_Stap_aure_M1441_V1_genomic.fna"	"Staphylococcus_aureus"	85	2925948	"aureus"	"Staphylococcus_aureus__GCF_000548945.1_Stap_aure_M1441_V1_genomic.fna"
"GCF_000548965.1_Stap_aure_M1443_V1_genomic.fna"	"Staphylococcus_aureus"	44	2844076	"aureus"	"Staphylococcus_aureus__GCF_000548965.1_Stap_aure_M1443_V1_genomic.fna"
"GCF_000548985.1_Stap_aure_M1444_V1_genomic.fna"	"Staphylococcus_aureus"	50	2859046	"aureus"	"Staphylococcus_aureus__GCF_000548985.1_Stap_aure_M1444_V1_genomic.fna"
"GCF_000549005.1_Stap_aure_M1445_V1_genomic.fna"	"Staphylococcus_aureus"	62	2889288	"aureus"	"Staphylococcus_aureus__GCF_000549005.1_Stap_aure_M1445_V1_genomic.fna"
"GCF_000549065.1_Stap_aure_M1448_V1_genomic.fna"	"Staphylococcus_aureus"	47	2843734	"aureus"	"Staphylococcus_aureus__GCF_000549065.1_Stap_aure_M1448_V1_genomic.fna"
"GCF_000549125.1_Stap_aure_M1453_V1_genomic.fna"	"Staphylococcus_aureus"	97	2884519	"aureus"	"Staphylococcus_aureus__GCF_000549125.1_Stap_aure_M1453_V1_genomic.fna"
"GCF_000549225.1_Stap_aure_M1458_V1_genomic.fna"	"Staphylococcus_aureus"	40	2874335	"aureus"	"Staphylococcus_aureus__GCF_000549225.1_Stap_aure_M1458_V1_genomic.fna"
"GCF_000549425.1_Stap_aure_M1472_V1_genomic.fna"	"Staphylococcus_aureus"	44	2851890	"aureus"	"Staphylococcus_aureus__GCF_000549425.1_Stap_aure_M1472_V1_genomic.fna"
"GCF_000549505.1_Stap_aure_M1345_V1_genomic.fna"	"Staphylococcus_aureus"	20	2863117	"aureus"	"Staphylococcus_aureus__GCF_000549505.1_Stap_aure_M1345_V1_genomic.fna"
"GCF_000549985.1_Stap_aure_M1491_V1_genomic.fna"	"Staphylococcus_aureus"	13	2849298	"aureus"	"Staphylococcus_aureus__GCF_000549985.1_Stap_aure_M1491_V1_genomic.fna"
"GCF_000550005.1_Stap_aure_M1493_V1_genomic.fna"	"Staphylococcus_aureus"	18	2859977	"aureus"	"Staphylococcus_aureus__GCF_000550005.1_Stap_aure_M1493_V1_genomic.fna"
"GCF_000550025.1_Stap_aure_M1496_V1_genomic.fna"	"Staphylococcus_aureus"	48	2825512	"aureus"	"Staphylococcus_aureus__GCF_000550025.1_Stap_aure_M1496_V1_genomic.fna"
"GCF_000550045.1_Stap_aure_M1497_V1_genomic.fna"	"Staphylococcus_aureus"	52	2899877	"aureus"	"Staphylococcus_aureus__GCF_000550045.1_Stap_aure_M1497_V1_genomic.fna"
"GCF_000550065.1_Stap_aure_M1500_V1_genomic.fna"	"Staphylococcus_aureus"	29	2894655	"aureus"	"Staphylococcus_aureus__GCF_000550065.1_Stap_aure_M1500_V1_genomic.fna"
"GCF_000550085.1_Stap_aure_M1501_V1_genomic.fna"	"Staphylococcus_aureus"	66	2805405	"aureus"	"Staphylococcus_aureus__GCF_000550085.1_Stap_aure_M1501_V1_genomic.fna"
"GCF_000550105.1_Stap_aure_M1504_V1_genomic.fna"	"Staphylococcus_aureus"	48	2839716	"aureus"	"Staphylococcus_aureus__GCF_000550105.1_Stap_aure_M1504_V1_genomic.fna"
"GCF_000550125.1_Stap_aure_M1505_V1_genomic.fna"	"Staphylococcus_aureus"	38	2860986	"aureus"	"Staphylococcus_aureus__GCF_000550125.1_Stap_aure_M1505_V1_genomic.fna"
"GCF_000550185.1_Stap_aure_M1508_V1_genomic.fna"	"Staphylococcus_aureus"	30	2853893	"aureus"	"Staphylococcus_aureus__GCF_000550185.1_Stap_aure_M1508_V1_genomic.fna"
"GCF_000550205.1_Stap_aure_M1511_V1_genomic.fna"	"Staphylococcus_aureus"	87	2894396	"aureus"	"Staphylococcus_aureus__GCF_000550205.1_Stap_aure_M1511_V1_genomic.fna"
"GCF_000550225.1_Stap_aure_M1512_V1_genomic.fna"	"Staphylococcus_aureus"	23	2871902	"aureus"	"Staphylococcus_aureus__GCF_000550225.1_Stap_aure_M1512_V1_genomic.fna"
"GCF_000550525.1_Stap_aure_M1535_V1_genomic.fna"	"Staphylococcus_aureus"	44	2842418	"aureus"	"Staphylococcus_aureus__GCF_000550525.1_Stap_aure_M1535_V1_genomic.fna"
"GCF_000550725.1_Stap_aure_M1559_V1_genomic.fna"	"Staphylococcus_aureus"	29	2857622	"aureus"	"Staphylococcus_aureus__GCF_000550725.1_Stap_aure_M1559_V1_genomic.fna"
"GCF_000550845.1_Stap_aure_M0004_V1_genomic.fna"	"Staphylococcus_aureus"	40	2864123	"aureus"	"Staphylococcus_aureus__GCF_000550845.1_Stap_aure_M0004_V1_genomic.fna"
"GCF_000559205.1_Stap_aure_M81490_V1_genomic.fna"	"Staphylococcus_aureus"	30	2890084	"aureus"	"Staphylococcus_aureus__GCF_000559205.1_Stap_aure_M81490_V1_genomic.fna"
"GCF_000559225.1_Stap_aure_M81493_V1_genomic.fna"	"Staphylococcus_aureus"	92	2889590	"aureus"	"Staphylococcus_aureus__GCF_000559225.1_Stap_aure_M81493_V1_genomic.fna"
"GCF_000559245.1_Stap_aure_T45974_V1_genomic.fna"	"Staphylococcus_aureus"	49	3006858	"aureus"	"Staphylococcus_aureus__GCF_000559245.1_Stap_aure_T45974_V1_genomic.fna"
"GCF_000559385.1_Stap_aure_T49441_V1_genomic.fna"	"Staphylococcus_aureus"	51	2789442	"aureus"	"Staphylococcus_aureus__GCF_000559385.1_Stap_aure_T49441_V1_genomic.fna"
"GCF_000559505.1_Stap_aure_H83536_V1_genomic.fna"	"Staphylococcus_aureus"	57	2841516	"aureus"	"Staphylococcus_aureus__GCF_000559505.1_Stap_aure_H83536_V1_genomic.fna"
"GCF_000559585.1_Stap_aure_M92086_V1_genomic.fna"	"Staphylococcus_aureus"	25	2920125	"aureus"	"Staphylococcus_aureus__GCF_000559585.1_Stap_aure_M92086_V1_genomic.fna"
"GCF_000559605.1_Stap_aure_W35325_V1_genomic.fna"	"Staphylococcus_aureus"	52	2796173	"aureus"	"Staphylococcus_aureus__GCF_000559605.1_Stap_aure_W35325_V1_genomic.fna"
"GCF_000559845.1_Stap_aure_F54452_V1_genomic.fna"	"Staphylococcus_aureus"	66	2851463	"aureus"	"Staphylococcus_aureus__GCF_000559845.1_Stap_aure_F54452_V1_genomic.fna"
"GCF_000559985.1_Stap_aure_W85047_V1_genomic.fna"	"Staphylococcus_aureus"	26	2886212	"aureus"	"Staphylococcus_aureus__GCF_000559985.1_Stap_aure_W85047_V1_genomic.fna"
"GCF_000560105.1_Stap_aure_T66282_V1_genomic.fna"	"Staphylococcus_aureus"	21	2870235	"aureus"	"Staphylococcus_aureus__GCF_000560105.1_Stap_aure_T66282_V1_genomic.fna"
"GCF_000560185.1_Stap_aure_F90608_V1_genomic.fna"	"Staphylococcus_aureus"	2	2873851	"aureus"	"Staphylococcus_aureus__GCF_000560185.1_Stap_aure_F90608_V1_genomic.fna"
"GCF_000560385.1_Stap_aure_M70590_V1_genomic.fna"	"Staphylococcus_aureus"	31	2930298	"aureus"	"Staphylococcus_aureus__GCF_000560385.1_Stap_aure_M70590_V1_genomic.fna"
"GCF_000560405.1_Stap_aure_T34696_V1_genomic.fna"	"Staphylococcus_aureus"	38	2899462	"aureus"	"Staphylococcus_aureus__GCF_000560405.1_Stap_aure_T34696_V1_genomic.fna"
"GCF_000560485.1_Stap_aure_W24216_V1_genomic.fna"	"Staphylococcus_aureus"	44	2978561	"aureus"	"Staphylococcus_aureus__GCF_000560485.1_Stap_aure_W24216_V1_genomic.fna"
"GCF_000560545.1_Stap_aure_T28847_V1_genomic.fna"	"Staphylococcus_aureus"	62	2831088	"aureus"	"Staphylococcus_aureus__GCF_000560545.1_Stap_aure_T28847_V1_genomic.fna"
"GCF_000560685.1_Stap_aure_F43676_V1_genomic.fna"	"Staphylococcus_aureus"	2	2875940	"aureus"	"Staphylococcus_aureus__GCF_000560685.1_Stap_aure_F43676_V1_genomic.fna"
"GCF_000561025.1_Stap_aure_M16220_V1_genomic.fna"	"Staphylococcus_aureus"	46	2783920	"aureus"	"Staphylococcus_aureus__GCF_000561025.1_Stap_aure_M16220_V1_genomic.fna"
"GCF_000561045.1_Stap_aure_H18811_V1_genomic.fna"	"Staphylococcus_aureus"	58	2881656	"aureus"	"Staphylococcus_aureus__GCF_000561045.1_Stap_aure_H18811_V1_genomic.fna"
"GCF_000561285.1_Stap_aure_M20916_V1_genomic.fna"	"Staphylococcus_aureus"	64	2869557	"aureus"	"Staphylococcus_aureus__GCF_000561285.1_Stap_aure_M20916_V1_genomic.fna"
"GCF_000561305.1_Stap_aure_W51776_V1_genomic.fna"	"Staphylococcus_aureus"	21	2852461	"aureus"	"Staphylococcus_aureus__GCF_000561305.1_Stap_aure_W51776_V1_genomic.fna"
"GCF_000561445.1_Stap_aure_M27449_V1_genomic.fna"	"Staphylococcus_aureus"	37	2724836	"aureus"	"Staphylococcus_aureus__GCF_000561445.1_Stap_aure_M27449_V1_genomic.fna"
"GCF_000561465.1_Stap_aure_T71868_V1_genomic.fna"	"Staphylococcus_aureus"	42	2902112	"aureus"	"Staphylococcus_aureus__GCF_000561465.1_Stap_aure_T71868_V1_genomic.fna"
"GCF_000561545.1_Stap_aure_H33636_V1_genomic.fna"	"Staphylococcus_aureus"	31	2895956	"aureus"	"Staphylococcus_aureus__GCF_000561545.1_Stap_aure_H33636_V1_genomic.fna"
"GCF_000561565.1_Stap_aure_H33594_V1_genomic.fna"	"Staphylococcus_aureus"	49	2782602	"aureus"	"Staphylococcus_aureus__GCF_000561565.1_Stap_aure_H33594_V1_genomic.fna"
"GCF_000561585.1_Stap_aure_F70893_V1_genomic.fna"	"Staphylococcus_aureus"	57	2813334	"aureus"	"Staphylococcus_aureus__GCF_000561585.1_Stap_aure_F70893_V1_genomic.fna"
"GCF_000561785.1_Stap_aure_F76996_V1_genomic.fna"	"Staphylococcus_aureus"	40	2939721	"aureus"	"Staphylococcus_aureus__GCF_000561785.1_Stap_aure_F76996_V1_genomic.fna"
"GCF_000561845.1_Stap_aure_H42737_V1_genomic.fna"	"Staphylococcus_aureus"	23	2857165	"aureus"	"Staphylococcus_aureus__GCF_000561845.1_Stap_aure_H42737_V1_genomic.fna"
"GCF_000561865.1_Stap_aure_H42759_V1_genomic.fna"	"Staphylococcus_aureus"	27	2822214	"aureus"	"Staphylococcus_aureus__GCF_000561865.1_Stap_aure_H42759_V1_genomic.fna"
"GCF_000562085.1_Stap_aure_F83251_V1_genomic.fna"	"Staphylococcus_aureus"	50	2785386	"aureus"	"Staphylococcus_aureus__GCF_000562085.1_Stap_aure_F83251_V1_genomic.fna"
"GCF_000562105.1_Stap_aure_F83269_V1_genomic.fna"	"Staphylococcus_aureus"	43	2785479	"aureus"	"Staphylococcus_aureus__GCF_000562105.1_Stap_aure_F83269_V1_genomic.fna"
"GCF_000562445.1_Stap_aure_T16281_V1_genomic.fna"	"Staphylococcus_aureus"	43	2789149	"aureus"	"Staphylococcus_aureus__GCF_000562445.1_Stap_aure_T16281_V1_genomic.fna"
"GCF_000562915.1_Stap_aure_T12805_V1_genomic.fna"	"Staphylococcus_aureus"	39	2890229	"aureus"	"Staphylococcus_aureus__GCF_000562915.1_Stap_aure_T12805_V1_genomic.fna"
"GCF_000563375.1_Stap_aure_H34245_V1_genomic.fna"	"Staphylococcus_aureus"	59	2832172	"aureus"	"Staphylococcus_aureus__GCF_000563375.1_Stap_aure_H34245_V1_genomic.fna"
"GCF_000563435.1_Stap_aure_H40583_V1_genomic.fna"	"Staphylococcus_aureus"	2	2874873	"aureus"	"Staphylococcus_aureus__GCF_000563435.1_Stap_aure_H40583_V1_genomic.fna"
"GCF_000563455.1_Stap_aure_H57821_V1_genomic.fna"	"Staphylococcus_aureus"	63	2847853	"aureus"	"Staphylococcus_aureus__GCF_000563455.1_Stap_aure_H57821_V1_genomic.fna"
"GCF_000563775.1_Stap_aure_M31588_V1_genomic.fna"	"Staphylococcus_aureus"	25	2927579	"aureus"	"Staphylococcus_aureus__GCF_000563775.1_Stap_aure_M31588_V1_genomic.fna"
"GCF_000563815.1_Stap_aure_M59498_V1_genomic.fna"	"Staphylococcus_aureus"	87	2860944	"aureus"	"Staphylococcus_aureus__GCF_000563815.1_Stap_aure_M59498_V1_genomic.fna"
"GCF_000563835.1_Stap_aure_M65003_V1_genomic.fna"	"Staphylococcus_aureus"	2	2884377	"aureus"	"Staphylococcus_aureus__GCF_000563835.1_Stap_aure_M65003_V1_genomic.fna"
"GCF_000563855.1_Stap_aure_M68467_V1_genomic.fna"	"Staphylococcus_aureus"	29	2944597	"aureus"	"Staphylococcus_aureus__GCF_000563855.1_Stap_aure_M68467_V1_genomic.fna"
"GCF_000563875.1_Stap_aure_M68475_V1_genomic.fna"	"Staphylococcus_aureus"	77	2861877	"aureus"	"Staphylococcus_aureus__GCF_000563875.1_Stap_aure_M68475_V1_genomic.fna"
"GCF_900251815.1_M3897_genomic.fna"	"Staphylococcus_aureus"	85	2877281	"aureus"	"Staphylococcus_aureus__GCF_900251815.1_M3897_genomic.fna"
"GCF_000563895.1_Stap_aure_M71813_V1_genomic.fna"	"Staphylococcus_aureus"	31	2925200	"aureus"	"Staphylococcus_aureus__GCF_000563895.1_Stap_aure_M71813_V1_genomic.fna"
"GCF_000563915.1_Stap_aure_M74952_V1_genomic.fna"	"Staphylococcus_aureus"	32	2887535	"aureus"	"Staphylococcus_aureus__GCF_000563915.1_Stap_aure_M74952_V1_genomic.fna"
"GCF_000564955.1_WGS_Staphylococcus_aureus_HST-084_genomic.fna"	"Staphylococcus_aureus"	36	2715285	"aureus"	"Staphylococcus_aureus__GCF_000564955.1_WGS_Staphylococcus_aureus_HST-084_genomic.fna"
"GCF_000569695.1_Stap_aure_M91155_V1_genomic.fna"	"Staphylococcus_aureus"	36	2821927	"aureus"	"Staphylococcus_aureus__GCF_000569695.1_Stap_aure_M91155_V1_genomic.fna"
"GCF_000569715.1_Stap_aure_M91141_V1_genomic.fna"	"Staphylococcus_aureus"	13	2919031	"aureus"	"Staphylococcus_aureus__GCF_000569715.1_Stap_aure_M91141_V1_genomic.fna"
"GCF_000569755.1_Stap_aure_M87641_V1_genomic.fna"	"Staphylococcus_aureus"	28	2823498	"aureus"	"Staphylococcus_aureus__GCF_000569755.1_Stap_aure_M87641_V1_genomic.fna"
"GCF_000569775.1_Stap_aure_M80979_V1_genomic.fna"	"Staphylococcus_aureus"	51	2910090	"aureus"	"Staphylococcus_aureus__GCF_000569775.1_Stap_aure_M80979_V1_genomic.fna"
"GCF_000569795.1_Stap_aure_M77238_V1_genomic.fna"	"Staphylococcus_aureus"	56	2820759	"aureus"	"Staphylococcus_aureus__GCF_000569795.1_Stap_aure_M77238_V1_genomic.fna"
"GCF_000569815.1_Stap_aure_M77229_V1_genomic.fna"	"Staphylococcus_aureus"	12	2917270	"aureus"	"Staphylococcus_aureus__GCF_000569815.1_Stap_aure_M77229_V1_genomic.fna"
"GCF_000569835.1_Stap_aure_M77225_V1_genomic.fna"	"Staphylococcus_aureus"	10	2896479	"aureus"	"Staphylococcus_aureus__GCF_000569835.1_Stap_aure_M77225_V1_genomic.fna"
"GCF_000569875.1_Stap_aure_M20198_V1_genomic.fna"	"Staphylococcus_aureus"	13	2882722	"aureus"	"Staphylococcus_aureus__GCF_000569875.1_Stap_aure_M20198_V1_genomic.fna"
"GCF_000569915.1_Stap_aure_M16586_V1_genomic.fna"	"Staphylococcus_aureus"	32	2860594	"aureus"	"Staphylococcus_aureus__GCF_000569915.1_Stap_aure_M16586_V1_genomic.fna"
"GCF_000569935.1_Stap_aure_M13065_V1_genomic.fna"	"Staphylococcus_aureus"	23	2819965	"aureus"	"Staphylococcus_aureus__GCF_000569935.1_Stap_aure_M13065_V1_genomic.fna"
"GCF_000570215.1_Stap_aure_F57021_V1_genomic.fna"	"Staphylococcus_aureus"	30	2824793	"aureus"	"Staphylococcus_aureus__GCF_000570215.1_Stap_aure_F57021_V1_genomic.fna"
"GCF_000570915.1_Stap_aure_M73703_V1_genomic.fna"	"Staphylococcus_aureus"	16	2912562	"aureus"	"Staphylococcus_aureus__GCF_000570915.1_Stap_aure_M73703_V1_genomic.fna"
"GCF_000570935.1_Stap_aure_M73702_V1_genomic.fna"	"Staphylococcus_aureus"	9	2845108	"aureus"	"Staphylococcus_aureus__GCF_000570935.1_Stap_aure_M73702_V1_genomic.fna"
"GCF_000570995.1_Stap_aure_M66673_V1_genomic.fna"	"Staphylococcus_aureus"	36	2893380	"aureus"	"Staphylococcus_aureus__GCF_000570995.1_Stap_aure_M66673_V1_genomic.fna"
"GCF_000571015.1_Stap_aure_M66661_V1_genomic.fna"	"Staphylococcus_aureus"	10	2894542	"aureus"	"Staphylococcus_aureus__GCF_000571015.1_Stap_aure_M66661_V1_genomic.fna"
"GCF_000571055.1_Stap_aure_M56985_V1_genomic.fna"	"Staphylococcus_aureus"	14	2898338	"aureus"	"Staphylococcus_aureus__GCF_000571055.1_Stap_aure_M56985_V1_genomic.fna"
"GCF_000571075.1_Stap_aure_M53327_V1_genomic.fna"	"Staphylococcus_aureus"	13	2885373	"aureus"	"Staphylococcus_aureus__GCF_000571075.1_Stap_aure_M53327_V1_genomic.fna"
"GCF_000571095.1_Stap_aure_M46077_V1_genomic.fna"	"Staphylococcus_aureus"	18	2885295	"aureus"	"Staphylococcus_aureus__GCF_000571095.1_Stap_aure_M46077_V1_genomic.fna"
"GCF_000571115.1_Stap_aure_M46070_V1_genomic.fna"	"Staphylococcus_aureus"	58	2865357	"aureus"	"Staphylococcus_aureus__GCF_000571115.1_Stap_aure_M46070_V1_genomic.fna"
"GCF_000571135.1_Stap_aure_M46066_V1_genomic.fna"	"Staphylococcus_aureus"	29	2810310	"aureus"	"Staphylococcus_aureus__GCF_000571135.1_Stap_aure_M46066_V1_genomic.fna"
"GCF_000571155.1_Stap_aure_H75143_V1_genomic.fna"	"Staphylococcus_aureus"	15	2849549	"aureus"	"Staphylococcus_aureus__GCF_000571155.1_Stap_aure_H75143_V1_genomic.fna"
"GCF_000571555.1_Stap_aure_F81381_V1_genomic.fna"	"Staphylococcus_aureus"	13	2902433	"aureus"	"Staphylococcus_aureus__GCF_000571555.1_Stap_aure_F81381_V1_genomic.fna"
"GCF_000572445.1_Stap_aure_OCMM6109_V1_genomic.fna"	"Staphylococcus_aureus"	3	2886235	"aureus"	"Staphylococcus_aureus__GCF_000572445.1_Stap_aure_OCMM6109_V1_genomic.fna"
"GCF_000572465.1_Stap_aure_WMCA6086_V1_genomic.fna"	"Staphylococcus_aureus"	3	2912600	"aureus"	"Staphylococcus_aureus__GCF_000572465.1_Stap_aure_WMCA6086_V1_genomic.fna"
"GCF_000572565.1_Stap_aure_FVRH6040_V1_genomic.fna"	"Staphylococcus_aureus"	6	2908496	"aureus"	"Staphylococcus_aureus__GCF_000572565.1_Stap_aure_FVRH6040_V1_genomic.fna"
"GCF_000572625.1_Stap_aure_KINW6025_V1_genomic.fna"	"Staphylococcus_aureus"	6	2918100	"aureus"	"Staphylococcus_aureus__GCF_000572625.1_Stap_aure_KINW6025_V1_genomic.fna"
"GCF_000572645.1_Stap_aure_SJOS6145_V1_genomic.fna"	"Staphylococcus_aureus"	10	2889836	"aureus"	"Staphylococcus_aureus__GCF_000572645.1_Stap_aure_SJOS6145_V1_genomic.fna"
"GCF_000572665.1_Stap_aure_SJUD6098_V1_genomic.fna"	"Staphylococcus_aureus"	13	2988321	"aureus"	"Staphylococcus_aureus__GCF_000572665.1_Stap_aure_SJUD6098_V1_genomic.fna"
"GCF_000572685.1_Stap_aure_SJOS6123_V1_genomic.fna"	"Staphylococcus_aureus"	11	2895818	"aureus"	"Staphylococcus_aureus__GCF_000572685.1_Stap_aure_SJOS6123_V1_genomic.fna"
"GCF_000572705.1_Stap_aure_HOAG6047_V1_genomic.fna"	"Staphylococcus_aureus"	7	2942642	"aureus"	"Staphylococcus_aureus__GCF_000572705.1_Stap_aure_HOAG6047_V1_genomic.fna"
"GCF_000572765.1_Stap_aure_SCLE6012_V1_genomic.fna"	"Staphylococcus_aureus"	5	2852397	"aureus"	"Staphylococcus_aureus__GCF_000572765.1_Stap_aure_SCLE6012_V1_genomic.fna"
"GCF_000572785.1_Stap_aure_OCMM6017_V1_genomic.fna"	"Staphylococcus_aureus"	8	2932689	"aureus"	"Staphylococcus_aureus__GCF_000572785.1_Stap_aure_OCMM6017_V1_genomic.fna"
"GCF_000572845.1_Stap_aure_MISS6037_V1_genomic.fna"	"Staphylococcus_aureus"	8	2943241	"aureus"	"Staphylococcus_aureus__GCF_000572845.1_Stap_aure_MISS6037_V1_genomic.fna"
"GCF_000572865.1_Stap_aure_LPIH6008_V1_genomic.fna"	"Staphylococcus_aureus"	7	2914383	"aureus"	"Staphylococcus_aureus__GCF_000572865.1_Stap_aure_LPIH6008_V1_genomic.fna"
"GCF_000573005.1_Stap_aure_SJUD6085_V1_genomic.fna"	"Staphylococcus_aureus"	4	2881933	"aureus"	"Staphylococcus_aureus__GCF_000573005.1_Stap_aure_SJUD6085_V1_genomic.fna"
"GCF_000573065.1_Stap_aure_LPIH6010_V1_genomic.fna"	"Staphylococcus_aureus"	4	2907953	"aureus"	"Staphylococcus_aureus__GCF_000573065.1_Stap_aure_LPIH6010_V1_genomic.fna"
"GCF_000573545.1_Stap_aure_M1303_V1_genomic.fna"	"Staphylococcus_aureus"	33	2861898	"aureus"	"Staphylococcus_aureus__GCF_000573545.1_Stap_aure_M1303_V1_genomic.fna"
"GCF_000573565.1_Stap_aure_M1302_V1_genomic.fna"	"Staphylococcus_aureus"	37	2870651	"aureus"	"Staphylococcus_aureus__GCF_000573565.1_Stap_aure_M1302_V1_genomic.fna"
"GCF_000573625.1_Stap_aure_M1297_V1_genomic.fna"	"Staphylococcus_aureus"	69	2917950	"aureus"	"Staphylococcus_aureus__GCF_000573625.1_Stap_aure_M1297_V1_genomic.fna"
"GCF_000573665.1_Stap_aure_M1295_V1_genomic.fna"	"Staphylococcus_aureus"	51	2899815	"aureus"	"Staphylococcus_aureus__GCF_000573665.1_Stap_aure_M1295_V1_genomic.fna"
"GCF_000573705.1_Stap_aure_M1292_V1_genomic.fna"	"Staphylococcus_aureus"	42	2811129	"aureus"	"Staphylococcus_aureus__GCF_000573705.1_Stap_aure_M1292_V1_genomic.fna"
"GCF_000573725.1_Stap_aure_M1290_V1_genomic.fna"	"Staphylococcus_aureus"	61	2822782	"aureus"	"Staphylococcus_aureus__GCF_000573725.1_Stap_aure_M1290_V1_genomic.fna"
"GCF_000573745.1_Stap_aure_M1289_V1_genomic.fna"	"Staphylococcus_aureus"	46	2838573	"aureus"	"Staphylococcus_aureus__GCF_000573745.1_Stap_aure_M1289_V1_genomic.fna"
"GCF_000573765.1_Stap_aure_M1288_V1_genomic.fna"	"Staphylococcus_aureus"	42	2863123	"aureus"	"Staphylococcus_aureus__GCF_000573765.1_Stap_aure_M1288_V1_genomic.fna"
"GCF_000573785.1_Stap_aure_M1285_V1_genomic.fna"	"Staphylococcus_aureus"	47	2858036	"aureus"	"Staphylococcus_aureus__GCF_000573785.1_Stap_aure_M1285_V1_genomic.fna"
"GCF_000573805.1_Stap_aure_M1283_V1_genomic.fna"	"Staphylococcus_aureus"	40	2857021	"aureus"	"Staphylococcus_aureus__GCF_000573805.1_Stap_aure_M1283_V1_genomic.fna"
"GCF_000573825.1_Stap_aure_M1282_V1_genomic.fna"	"Staphylococcus_aureus"	32	2942051	"aureus"	"Staphylococcus_aureus__GCF_000573825.1_Stap_aure_M1282_V1_genomic.fna"
"GCF_000573845.1_Stap_aure_M1280_V1_genomic.fna"	"Staphylococcus_aureus"	64	2884834	"aureus"	"Staphylococcus_aureus__GCF_000573845.1_Stap_aure_M1280_V1_genomic.fna"
"GCF_000576875.1_Stap_aure_W82310_V1_genomic.fna"	"Staphylococcus_aureus"	17	2875729	"aureus"	"Staphylococcus_aureus__GCF_000576875.1_Stap_aure_W82310_V1_genomic.fna"
"GCF_000577005.1_Stap_aure_M44987_V1_genomic.fna"	"Staphylococcus_aureus"	7	2870789	"aureus"	"Staphylococcus_aureus__GCF_000577005.1_Stap_aure_M44987_V1_genomic.fna"
"GCF_000577025.1_Stap_aure_F77709_V1_genomic.fna"	"Staphylococcus_aureus"	4	2946151	"aureus"	"Staphylococcus_aureus__GCF_000577025.1_Stap_aure_F77709_V1_genomic.fna"
"GCF_000577125.1_Stap_aure_F31094_V1_genomic.fna"	"Staphylococcus_aureus"	5	2852034	"aureus"	"Staphylococcus_aureus__GCF_000577125.1_Stap_aure_F31094_V1_genomic.fna"
"GCF_000577525.1_Stap_aure_T57402_V1_genomic.fna"	"Staphylococcus_aureus"	15	2858689	"aureus"	"Staphylococcus_aureus__GCF_000577525.1_Stap_aure_T57402_V1_genomic.fna"
"GCF_000578195.1_Stap_aure_H32166_V1_genomic.fna"	"Staphylococcus_aureus"	12	2896523	"aureus"	"Staphylococcus_aureus__GCF_000578195.1_Stap_aure_H32166_V1_genomic.fna"
"GCF_000578215.1_Stap_aure_H32181_V1_genomic.fna"	"Staphylococcus_aureus"	15	2896098	"aureus"	"Staphylococcus_aureus__GCF_000578215.1_Stap_aure_H32181_V1_genomic.fna"
"GCF_000578235.1_Stap_aure_F63786_V1_genomic.fna"	"Staphylococcus_aureus"	10	2932761	"aureus"	"Staphylococcus_aureus__GCF_000578235.1_Stap_aure_F63786_V1_genomic.fna"
"GCF_000578415.1_Stap_aure_M35965_V1_genomic.fna"	"Staphylococcus_aureus"	50	2884292	"aureus"	"Staphylococcus_aureus__GCF_000578415.1_Stap_aure_M35965_V1_genomic.fna"
"GCF_000578475.1_Stap_aure_H38239_V1_genomic.fna"	"Staphylococcus_aureus"	33	2814371	"aureus"	"Staphylococcus_aureus__GCF_000578475.1_Stap_aure_H38239_V1_genomic.fna"
"GCF_000578655.1_Stap_aure_F76218_V1_genomic.fna"	"Staphylococcus_aureus"	33	2771158	"aureus"	"Staphylococcus_aureus__GCF_000578655.1_Stap_aure_F76218_V1_genomic.fna"
"GCF_000578715.1_Stap_aure_T86574_V1_genomic.fna"	"Staphylococcus_aureus"	42	2770273	"aureus"	"Staphylococcus_aureus__GCF_000578715.1_Stap_aure_T86574_V1_genomic.fna"
"GCF_000578775.1_Stap_aure_H44015_V1_genomic.fna"	"Staphylococcus_aureus"	16	2856747	"aureus"	"Staphylococcus_aureus__GCF_000578775.1_Stap_aure_H44015_V1_genomic.fna"
"GCF_000578815.1_Stap_aure_T89906_V1_genomic.fna"	"Staphylococcus_aureus"	15	2894512	"aureus"	"Staphylococcus_aureus__GCF_000578815.1_Stap_aure_T89906_V1_genomic.fna"
"GCF_000578915.1_Stap_aure_W70568_V1_genomic.fna"	"Staphylococcus_aureus"	34	2799408	"aureus"	"Staphylococcus_aureus__GCF_000578915.1_Stap_aure_W70568_V1_genomic.fna"
"GCF_000578935.1_Stap_aure_M42514_V1_genomic.fna"	"Staphylococcus_aureus"	15	2858739	"aureus"	"Staphylococcus_aureus__GCF_000578935.1_Stap_aure_M42514_V1_genomic.fna"
"GCF_000578995.1_Stap_aure_F82568_V1_genomic.fna"	"Staphylococcus_aureus"	13	2868313	"aureus"	"Staphylococcus_aureus__GCF_000578995.1_Stap_aure_F82568_V1_genomic.fna"
